province,year,jan_sum,jan_mean,jan_percentage_light,feb_sum,feb_mean,feb_percentage_light,mar_sum,mar_mean,mar_percentage_light,apr_sum,apr_mean,apr_percentage_light,may_sum,may_mean,may_percentage_light,jun_sum,jun_mean,jun_percentage_light,jul_sum,jul_mean,jul_percentage_light,aug_sum,aug_mean,aug_percentage_light,sept_sum,sept_mean,sept_percentage_light,oct_sum,oct_mean,oct_percentage_light,nov_sum,nov_mean,nov_percentage_light,dec_sum,dec_mean,dec_percentage_light,avg_sum_of_intensity,avg_mean,sum_of_percentage_light,GDPR
eastern_cape,2019,82154.0,0.053,0.00077,75037.0,0.048,0.00038,74992.0,0.048,0.00058,80395,0.052,0.00032,79007,0.051,0.00038,83628,0.054,0.0007,100628,0.064,0.00135,110065,0.071,0.00122,101122.0,0.065,0.00064,84636.0,0.054,0.00077,88319.0,0.057,0.00058,82347.0,0.053,0.00109,86861.0,0.0558,0.009,387332.0773
northern_cape,2012,44936.0,0.012,0.0009,44936.0,0.012,0.0009,44936.0,0.012,0.0009,35585,0.01,0.00019,33534,0.009,0.00014,31276,0.008,0.00016,35042,0.009,0.00016,33508,0.009,0.00024,77718.0,0.021,0.00276,69321.0,0.019,0.00293,54080.0,0.015,0.00144,34360.0,0.009,0.00011,44936.0,0.0121,0.011,68154.43538
northern_cape,2013,33250.0,0.009,0.00014,37327.0,0.01,0.00024,37952.0,0.01,0.00022,38615,0.01,0.00022,40115,0.011,0.00019,38682,0.01,8e-05,38263,0.01,0.00024,39385,0.011,0.00024,42845.0,0.012,0.00019,41545.0,0.011,0.00016,42250.0,0.011,0.00022,40855.0,0.011,0.00027,39257.0,0.0105,0.002,72562.7105
northern_cape,2014,36038.0,0.01,0.00019,34429.0,0.009,0.00011,37747.0,0.01,0.00019,41234,0.011,0.00022,38229,0.01,0.00022,39691,0.011,0.00022,40782,0.011,0.00033,39965,0.011,0.00016,40714.0,0.011,8e-05,39825.0,0.011,0.00014,40158.0,0.011,0.00016,40533.0,0.011,0.00011,39112.0,0.0106,0.002,83510.91311
northern_cape,2015,35934.0,0.01,8e-05,41193.0,0.011,0.00016,38477.0,0.01,0.00016,41105,0.011,0.00014,41513,0.011,0.00011,40694,0.011,0.00014,36475,0.01,8e-05,36421,0.01,5e-05,36572.0,0.01,8e-05,37019.0,0.01,0.00019,39907.0,0.011,0.00016,39863.0,0.011,0.00014,38764.0,0.0105,0.001,86171.03814
northern_cape,2016,41102.0,0.011,0.00049,36025.0,0.01,0.00014,35660.0,0.01,5e-05,37380,0.01,0.00016,40263,0.011,0.00022,38795,0.011,5e-05,43186,0.012,0.00014,43409,0.012,0.00027,43306.0,0.012,0.00011,40975.0,0.011,8e-05,41829.0,0.011,8e-05,61927.0,0.017,0.0023,41988.0,0.0115,0.004,90371.93046
northern_cape,2017,47501.0,0.013,0.00084,41652.0,0.011,0.00016,42502.0,0.012,0.00014,41750,0.011,0.00011,44891,0.012,0.00019,47096,0.013,0.00016,43732,0.012,8e-05,44145,0.012,0.00011,42305.0,0.011,0.00011,44490.0,0.012,0.00011,42325.0,0.011,0.00014,45488.0,0.012,0.00022,43990.0,0.0118,0.002,96486.72353
northern_cape,2018,40942.0,0.011,0.00011,40265.0,0.011,0.00014,42931.0,0.012,0.00014,39820,0.011,8e-05,42318,0.011,5e-05,43601,0.012,8e-05,41814,0.011,3e-05,38708,0.01,5e-05,41879.0,0.011,3e-05,40229.0,0.011,3e-05,49308.0,0.013,0.00033,46807.0,0.013,0.00016,42385.0,0.0114,0.001,100120.0167
northern_cape,2019,40924.0,0.011,5e-05,38949.0,0.011,3e-05,37653.0,0.01,5e-05,37599,0.01,5e-05,40907,0.011,3e-05,42364,0.011,5e-05,41845,0.011,5e-05,42972,0.012,0.00011,44761.0,0.012,5e-05,42929.0,0.012,5e-05,41515.0,0.011,3e-05,35608.0,0.01,0.0,40669.0,0.011,0.001,103348.7994
free_state,2012,71428.7,0.066,0.00216,71428.7,0.066,0.00216,71428.7,0.066,0.00216,76488,0.071,0.0024,75968,0.07,0.00231,68732,0.063,0.00194,77217,0.071,0.0036,75278,0.069,0.00305,76122.0,0.07,0.00258,67199.0,0.062,0.0012,64924.0,0.06,0.00102,60930.0,0.056,0.00138,71429.0,0.0658,0.026,163915.704
free_state,2013,68494.0,0.063,0.00194,70938.0,0.065,0.00157,79323.0,0.073,0.00185,84669,0.078,0.00231,85835,0.079,0.00305,95863,0.088,0.00406,84445,0.078,0.00268,90477,0.084,0.00231,104731.0,0.097,0.00517,97561.0,0.09,0.00517,82529.0,0.076,0.00286,72926.0,0.067,0.00111,84816.0,0.0782,0.034,176944.6909
free_state,2014,78988.0,0.073,0.00277,69777.0,0.064,0.00138,82622.0,0.076,0.00203,91435,0.084,0.00369,86755,0.08,0.00314,93133,0.086,0.00314,98846,0.091,0.00443,106485,0.098,0.00572,92738.0,0.086,0.0036,94750.0,0.087,0.00415,74678.0,0.069,0.00194,79992.0,0.074,0.00203,87517.0,0.0807,0.038,190942.0363
free_state,2015,74571.0,0.069,0.00231,78925.0,0.073,0.00231,83658.0,0.077,0.00314,81364,0.075,0.00332,89274,0.082,0.00351,90110,0.083,0.00323,80823,0.075,0.00314,86282,0.08,0.00314,88250.0,0.081,0.00332,80853.0,0.075,0.00397,82736.0,0.076,0.00295,79359.0,0.073,0.00231,83017.0,0.0766,0.037,203876.1538
free_state,2016,83048.0,0.077,0.00323,74201.0,0.068,0.00258,68027.0,0.063,0.0012,89039,0.082,0.00351,89901,0.083,0.00323,89514,0.083,0.00286,92222,0.085,0.00249,100934,0.093,0.00489,94000.0,0.087,0.00286,86148.0,0.08,0.0024,84017.0,0.078,0.00305,78414.0,0.072,0.00129,85789.0,0.0792,0.034,218208.5166
free_state,2017,73064.0,0.067,0.00111,80548.0,0.074,0.0012,82363.0,0.076,0.00194,89664,0.083,0.00277,93907,0.087,0.00277,100337,0.093,0.00388,99494,0.092,0.00351,107794,0.099,0.00517,95235.0,0.088,0.00314,93529.0,0.086,0.00221,87974.0,0.081,0.0024,76215.0,0.07,0.0012,90010.0,0.083,0.031,234504.5993
free_state,2018,85825.0,0.079,0.00166,77857.0,0.072,0.00194,83110.0,0.077,0.00258,83073,0.077,0.00332,86567,0.08,0.00295,89664,0.083,0.00268,81854,0.076,0.00166,79814,0.074,0.00194,93745.0,0.087,0.00341,77863.0,0.072,0.00129,87477.0,0.081,0.0024,78590.0,0.073,0.00166,83787.0,0.0776,0.027,243138.6648
free_state,2019,76542.0,0.071,0.00221,79348.0,0.073,0.00185,64872.0,0.06,0.00111,76031,0.07,0.00138,83122,0.077,0.00212,91187,0.084,0.0036,90762,0.084,0.00221,93364,0.086,0.00203,95433.0,0.088,0.00194,91302.0,0.084,0.00138,81206.0,0.075,0.00083,77119.0,0.071,0.00231,83357.0,0.0769,0.023,252762.9121
kwazulu_natal,2012,173859.3,0.198,0.01239,173859.3,0.198,0.01239,173859.3,0.198,0.01239,164209,0.187,0.00581,161299,0.184,0.00695,198637,0.226,0.01173,225743,0.257,0.02062,313365,0.357,0.04238,146718.0,0.167,0.01071,120133.0,0.137,0.00353,104122.0,0.119,0.00444,130508.0,0.149,0.00535,173859.0,0.1981,0.149,520390.9836
kwazulu_natal,2013,122178.0,0.139,0.0041,123635.0,0.141,0.00467,139467.0,0.159,0.00547,169612,0.193,0.00763,182314,0.208,0.01014,212858,0.243,0.01652,178278,0.203,0.01276,314819,0.359,0.03395,273545.0,0.312,0.03327,199929.0,0.228,0.01401,157525.0,0.179,0.00923,129024.0,0.147,0.00513,183599.0,0.2092,0.157,563941.4513
kwazulu_natal,2014,137063.0,0.156,0.00433,117912.0,0.134,0.00353,173213.0,0.197,0.00786,152405,0.174,0.00604,160927,0.183,0.00718,212599,0.242,0.01356,276825,0.315,0.03213,285005,0.325,0.03236,175599.0,0.2,0.01014,154951.0,0.177,0.00319,141837.0,0.162,0.00251,114401.0,0.13,0.00467,175228.0,0.1996,0.128,609665.2208
kwazulu_natal,2015,136356.0,0.155,0.00661,144565.0,0.165,0.00478,133267.0,0.152,0.00478,164222,0.187,0.00558,161783,0.184,0.00706,199565,0.227,0.01014,193272,0.22,0.0131,216252,0.246,0.0221,157769.0,0.18,0.01014,141926.0,0.162,0.00592,164743.0,0.188,0.00706,114864.0,0.131,0.00342,160715.0,0.1831,0.101,650522.2392
kwazulu_natal,2016,143256.0,0.163,0.00399,131757.0,0.15,0.00444,123194.0,0.14,0.0049,160864,0.183,0.00592,152788,0.174,0.00615,172227,0.196,0.00763,182770,0.208,0.00649,211966,0.241,0.01128,162818.0,0.185,0.01139,117286.0,0.134,0.0033,127177.0,0.145,0.00342,169517.0,0.193,0.0049,154635.0,0.176,0.074,697025.8311
kwazulu_natal,2017,135158.0,0.154,0.00365,168721.0,0.192,0.0041,154873.0,0.176,0.00444,170520,0.194,0.00684,169092,0.193,0.00535,174957,0.199,0.00615,192594,0.219,0.00832,204735,0.233,0.01265,149805.0,0.171,0.00501,159867.0,0.182,0.00535,157248.0,0.179,0.00467,137597.0,0.157,0.00399,164597.0,0.1874,0.071,746359.5302
kwazulu_natal,2018,169472.0,0.193,0.00444,132465.0,0.151,0.00342,179636.0,0.205,0.00376,129178,0.147,0.00376,152055,0.173,0.00501,189970,0.216,0.00649,173399,0.198,0.00718,210271,0.24,0.00946,205461.0,0.234,0.01082,143569.0,0.164,0.00501,187954.0,0.214,0.00535,143747.0,0.164,0.00251,168098.0,0.1916,0.067,778762.6194
kwazulu_natal,2019,157166.0,0.179,0.00251,142212.0,0.162,0.00262,136116.0,0.155,0.00182,173210,0.197,0.0049,171975,0.196,0.00513,172328,0.196,0.00422,236374,0.269,0.0106,223033,0.254,0.00592,203776.0,0.232,0.00843,158701.0,0.181,0.00205,143319.0,0.163,0.00262,144979.0,0.165,0.00205,171932.0,0.1957,0.053,806842.8948
north_west,2012,112960.4,0.116,0.00435,112960.4,0.116,0.00435,112960.4,0.116,0.00435,107546,0.11,0.00226,122508,0.126,0.00359,104537,0.107,0.00236,127204,0.13,0.00667,139705,0.143,0.01118,118089.0,0.121,0.00472,96330.0,0.099,0.00277,105161.0,0.108,0.00277,95564.0,0.098,0.00287,112960.0,0.1158,0.052,208040.1933
north_west,2013,97143.0,0.1,0.00349,100943.0,0.104,0.00236,111378.0,0.114,0.00256,120679,0.124,0.00287,120359,0.123,0.00369,135015,0.138,0.00462,128232,0.132,0.00338,127047,0.13,0.00492,145348.0,0.149,0.00605,137072.0,0.141,0.00708,119103.0,0.122,0.00338,100175.0,0.103,0.00195,120208.0,0.1233,0.046,241257.3612
north_west,2014,108862.0,0.112,0.00174,91070.0,0.093,0.00205,96916.0,0.099,0.00154,127938,0.131,0.0042,118308,0.121,0.00369,126868,0.13,0.00359,128259,0.132,0.00287,146896,0.151,0.0039,130337.0,0.134,0.00523,143152.0,0.147,0.00503,107528.0,0.11,0.00297,120601.0,0.124,0.00226,120561.0,0.1237,0.039,245934.909
north_west,2015,105125.0,0.108,0.00349,113864.0,0.117,0.00308,126692.0,0.13,0.0039,114397,0.117,0.00287,137160,0.141,0.00492,136140,0.14,0.00451,124949,0.128,0.00267,134028,0.137,0.00369,116329.0,0.119,0.00267,118938.0,0.122,0.00226,141197.0,0.145,0.00574,107859.0,0.111,0.00215,123056.0,0.1262,0.042,263327.4353
north_west,2016,103481.0,0.106,0.00226,100810.0,0.103,0.00174,103671.0,0.106,0.00246,124489,0.128,0.00287,131638,0.135,0.00267,126595,0.13,0.00195,135611,0.139,0.00277,139836,0.143,0.00308,132169.0,0.136,0.00205,126364.0,0.13,0.00297,118892.0,0.122,0.00297,112506.0,0.115,0.00195,121338.0,0.1244,0.03,283609.1026
